State,City,Alias,City_ID,ZipCode
NC,Blowing Rock,Boone vicinity,4456376,28605
NC,Morganton,Linville Gorge,4480219,28655
NC,Lake Lure,Rumbling Bald,4474803,28720
NC,Brevard,Looking Glass,4457040,28712
NC,Danbury,Moore's Wall,4462940,27016
NC,Elkin,Stone Mountain,4465155,28621
NC,Asheboro,Asheboro,4453035,27203
WV,Fayetteville,New River Gorge,4798308,25840
WV,Franklin,Franklin/Seneca Rocks,4806504,26807
WV,Pearisburg,Bozoo,4778312,24739
WV,Morgantown,Coopers Rock,4815352,26501
TN,Chattanooga,Chattanooga vicinity,4612862,
TN,Wartburg,Obed,4665933,
TN,Nashville,King's Bluff,4644585,
TN,Dayton,Dayton Pocket/Laurel Snow,4617536,
VA,Madison,Old Rag,4771235,
VA,Waynesboro,Charlottesvile vicinity,4792522,
VA,Harrisonburg,Hidden Rocks/2nd Mountain,4763237,
VA,Roanoke,McAfee's Knob,4782167,
VA,McLean,Great Falls,4772354,
VA,Abingdon,Hidden Valley,4743815,
VA,Independence,Grayson Highlands,4829280,
VA,Grundy,Breaks Interstate Park,4762512,
VA,Richmond,Manchester Wall,4781708,
AL,Fort Payne,Citadel/Little River Canyon,4062861,
AL,Birmingham,Moss Rock Preserve,4049979,
AL,Oneonta,Horse Pens 40,4081671,
GA,LaFayette,Rocktown,4204241,
GA,Atlanta,Boat Rock,4180439,
GA,Clarkesville,Mount Yonah/Tallulah Gorge,4188197,
KY,Campton,Red River Gorge,4286728,
AR,Jasper,Horseshoe Canyon Ranch,4116400,
AR,Ben Hur,Cowell,4105879,
AR,Fayetteville,Fayetteville vicinity,4110486,
MD,Bethesda,Carderock,4348599,
MD,Hagerstown,Annapolis Rock,4357141,
MD,Harper's Ferry,Harper's Ferry,4801850,
SC,Pickens,Big Rock/Table Rock,4590946,
PA,Harrisburg,Mt. Gretna/Governor's Stable,5192726,
PA,Birdsboro,Birdsboro Quarry,5180620,
PA,Pittsburgh,SW Pennsylvania vicinity,5206379,
NY,New Paltz,Shawangunks,5128539,
NY,New York,Central Park,5128581,
NY,Tupper Lake,Adirondacks,5141580,
IL,Carbondale,So-Ill vicinity,4235193,
IL,Davenport,Mississippi Palisades,4853423,
WI,Baraboo,Devil's Lake,5244638,
MI,Lansing,Grand Ledge,4998830,
MI,Marquette,Marquette vicinity,5000947,
TX,Dripping Springs,Reimer's Ranch,4686903,
TX,Belton,Roger's Park,4673425,
TX,Waco,Tonkawa Falls,4739526,
TX,Del Rio,Pecos River,5520076,
TX,Fredericksburg,Enchanted Rock,4692279,
TX,Amarillo,Palo Duro Canyon,5516233,
TX,El Paso,Hueco Tanks,5520993,
OH,Akron,Cleveland vicinity,5145476,
OH,Youngstown,Youngstown vicinity,5177568,
OH,Athens,Athens vicinity,4505542,
IN,North Vernon,Muscatatuck State Park,4262318,
IA,Cedar Rapids,Pictured Rocks State Park,4850751,
IA,Dubuque,Backbone State Park,4854529,
MO,Columbia,Columbia vicinity,4381982,
MO,Ironton,Elephant Rocks,4392057,
MO,Kansas City,Kansas City vicinity,4393217,
AZ,Mesquite,Virgin River Gorge,5508180,
AZ,Flagstaff,Flagstaff vicinity,5294810,
AZ,Sedona,Sedona vicinity,5313667,
AZ,Winslow,Jack's Canyon,5321473,
AZ,Phoenix,Queen Creek Canyon,5308655,
AZ,Tucson,Mt. Lemmon,5318313,
AZ,Tombstone,Cochise Stronghold,5317714,
NM,Taos,Taos Vicinity,5493811,
NM,Santa Fe,Los Alamos,5490263,
NM,Albuquerque,Sandias,5454711,
NM,Socorro,Enchanted Tower,5491999,
NM,Truth or Consequences,Truth or Consequences vicinity,5495292,
NM,Las Cruces,Organ Mountains,5475352,
VT,Burlington,Smuggler's Notch,5234372,
VT,Montpelier,Marshfield Ledge,5238685,
VT,Rutland,Killington,5240509,
NH,Durham,Pawtuckaway,5085618,
NH,Rumney,Rumney,5091981,
NH,North Conway,Cathedral Ledge/Whitehorse Ledge/Cannon Cliff,5090347,
CT,Wallingford,Central Connecticut,4845056,
CT,Waterbury,West Rock,5242565,
CT ,Torrington,Western Connecticut,4844309,
